acide;basique
aigle;faucon
amour;haine
arbre;buisson
astéroïde;ceinture
beau;laid
bon;mauvais
calme;bruyant
ceinture;astéroïde
chat;chien
chaud;froid
cheval;âne
chocolat;vanille
ciel;nuage
ciel;terre
clair;obscur
comète;astéroïde
comète;queue
coquillage;crabe
corail;algue
dauphin;baleine
doux;amer
doux;dur
doux;piquant
eau;feu
explosion;supernova
facile;difficile
fin;épais
fleur;arbre
force;gravité
fort;faible
forêt;désert
fourmi;mouche
galaxie;nébuleuse
galaxie;spirale
galaxie;univers
gaz;nébuleuse
grand;petit
gravité;force
grenouille;crapaud
haut;bas
herbe;fleur
jour;nuit
lapin;écureuil
lent;rapide
lion;tigre
lisse;rugueux
livre;film
long;court
lourd;léger
lumière;ombre
lune;comète
lune;nuit
léger;lourd
maison;appartement
mer;montagne
montagne;vallée
mou;dur
musique;danse
neige;glace
nuage;ciel
nuit;jour
nébuleuse;gaz
nébuleuse;supernova
oiseau;poisson
ombre;lumière
orbite;trajectoire
oui;non
ours;loup
ouvert;fermé
papillon;abeille
planète;orbite
planète;satellite
plein;vide
pluie;soleil
pomme;banane
propre;sale
queue;comète
requin;poisson-clown
riche;pauvre
rivière;lac
rouge;bleu
sable;roche
sec;humide
serpent;lézard
simple;complexe
soleil;lumière
soleil;lune
soleil;étoile
souple;rigide
spirale;galaxie
sucré;salé
supernova;explosion
tortue;lézard
trajectoire;orbite
trou noir;gravité
vent;tempête
vieux;jeune
voiture;vélo
vrai;faux
école;université
éléphant;girafe
étoile;ciel
étoile;planète
étoile;trou noir
été;hiver
